Market Dataset,ecoinvent location,Market group location,Peak power (kWp),Installation,Technology,Placement,Build,Placement2,Annual production
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, laminated, integrated, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, laminated, integrated, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, laminated, integrated, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, laminated, integrated, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, laminated, integrated, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, laminated, integrated, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, laminated, integrated, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, laminated, integrated, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, laminated, integrated, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, laminated, integrated, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, laminated, integrated, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, laminated, integrated, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, laminated, integrated, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, laminated, integrated, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, panel, mounted, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , micro-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , multi-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, laminated, integrated, at building,809.27
"market for electricity, low voltage",CH,WEU,3, facade , single-Si, panel, mounted, at building,809.27
"market for electricity, low voltage",CH,WEU,3, flat-roof , multi-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, flat-roof , single-Si, on roof,,,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CIS, panel, mounted, on roof,982.23
"market for electricity, low voltage",CH,WEU,3, slanted-roof , CdTe, laminated, integrated, on roof,1010.13
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , multi-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, laminated, integrated, on roof,991.32
"market for electricity, low voltage",CH,WEU,3, slanted-roof , single-Si, panel, mounted, on roof,991.32
"market for electricity, low voltage",CA-PE,CAN,3, slanted-roof , CIS, laminated, integrated, on roof,827.67
"market for electricity, low voltage",CA-PE,CAN,3, slanted-roof , CdTe, panel, mounted, on roof,802.71
"market for electricity, low voltage",CA-PE,CAN,3, slanted-roof , micro-Si, laminated, integrated, on roof,817.77
"market for electricity, low voltage",CA-PE,CAN,3, slanted-roof , micro-Si, panel, mounted, on roof,817.77
"market for electricity, low voltage",CA-PE,CAN,3, facade , multi-Si, laminated, integrated, at building,852.07
"market for electricity, low voltage",CA-PE,CAN,3, facade , multi-Si, panel, mounted, at building,852.07
"market for electricity, low voltage",CA-PE,CAN,3, facade , single-Si, laminated, integrated, at building,852.07
"market for electricity, low voltage",CA-PE,CAN,3, facade , single-Si, panel, mounted, at building,852.07
"market for electricity, low voltage",CA-PE,CAN,3, flat-roof , multi-Si, on roof,,,817.77
"market for electricity, low voltage",CA-PE,CAN,3, flat-roof , single-Si, on roof,,,817.77
"market for electricity, low voltage",CA-PE,CAN,3, slanted-roof , CIS, panel, mounted, on roof,827.67
"market for electricity, low voltage",CA-PE,CAN,3, slanted-roof , CdTe, laminated, integrated, on roof,802.71
"market for electricity, low voltage",CA-PE,CAN,3, slanted-roof , multi-Si, laminated, integrated, on roof,817.77
"market for electricity, low voltage",CA-PE,CAN,3, slanted-roof , multi-Si, panel, mounted, on roof,817.77
"market for electricity, low voltage",CA-PE,CAN,3, slanted-roof , single-Si, laminated, integrated, on roof,817.77
"market for electricity, low voltage",CA-PE,CAN,3, slanted-roof , single-Si, panel, mounted, on roof,817.77
"market for electricity, low voltage",MN,CHN,3, slanted-roof , CIS, laminated, integrated, on roof,1154.19
"market for electricity, low voltage",MN,CHN,3, slanted-roof , CdTe, panel, mounted, on roof,1162.71
"market for electricity, low voltage",MN,CHN,3, slanted-roof , micro-Si, laminated, integrated, on roof,1145.64
"market for electricity, low voltage",MN,CHN,3, slanted-roof , micro-Si, panel, mounted, on roof,1145.64
"market for electricity, low voltage",MN,CHN,3, facade , multi-Si, laminated, integrated, at building,884.83
"market for electricity, low voltage",MN,CHN,3, facade , multi-Si, panel, mounted, at building,884.83
"market for electricity, low voltage",MN,CHN,3, facade , single-Si, laminated, integrated, at building,884.83
"market for electricity, low voltage",MN,CHN,3, facade , single-Si, panel, mounted, at building,884.83
"market for electricity, low voltage",MN,CHN,3, flat-roof , multi-Si, on roof,,,1145.64
"market for electricity, low voltage",MN,CHN,3, flat-roof , single-Si, on roof,,,1145.64
"market for electricity, low voltage",MN,CHN,3, slanted-roof , CIS, panel, mounted, on roof,1154.19
"market for electricity, low voltage",MN,CHN,3, slanted-roof , CdTe, laminated, integrated, on roof,1162.71
"market for electricity, low voltage",MN,CHN,3, slanted-roof , multi-Si, laminated, integrated, on roof,1145.64
"market for electricity, low voltage",MN,CHN,3, slanted-roof , multi-Si, panel, mounted, on roof,1145.64
"market for electricity, low voltage",MN,CHN,3, slanted-roof , single-Si, laminated, integrated, on roof,1145.64
"market for electricity, low voltage",MN,CHN,3, slanted-roof , single-Si, panel, mounted, on roof,1145.64
"market for electricity, high voltage",TG,WAF,156, flat-roof , multi-Si, on roof,,,1640.68
"market for electricity, high voltage",TG,WAF,156, flat-roof , single-Si, on roof,,,1640.68
"market for electricity, high voltage",TG,WAF,570, open ground , CIS, on open ground,,,1764.47
"market for electricity, high voltage",TG,WAF,570, open ground , CdTe, on open ground,,,1889.84
"market for electricity, high voltage",TG,WAF,570, open ground , micro-Si, on open ground,,,1774.0
"market for electricity, high voltage",TG,WAF,570, open ground , multi-Si, on open ground,,,1774.0
"market for electricity, high voltage",TG,WAF,570, open ground , single-Si, on open ground,,,1774.0
"market for electricity, high voltage",TG,WAF,93, slanted-roof , multi-Si, laminated, integrated, on roof,1640.68
"market for electricity, high voltage",TG,WAF,93, slanted-roof , multi-Si, panel, mounted, on roof,1640.68
"market for electricity, high voltage",TG,WAF,93, slanted-roof , single-Si, laminated, integrated, on roof,1640.68
"market for electricity, high voltage",TG,WAF,93, slanted-roof , single-Si, panel, mounted, on roof,1640.68
"market for electricity, high voltage",SV,RCAM,156, flat-roof , multi-Si, on roof,,,1426.29
"market for electricity, high voltage",SV,RCAM,156, flat-roof , single-Si, on roof,,,1426.29
"market for electricity, high voltage",SV,RCAM,570, open ground , CIS, on open ground,,,1560.44
"market for electricity, high voltage",SV,RCAM,570, open ground , CdTe, on open ground,,,1629.95
"market for electricity, high voltage",SV,RCAM,570, open ground , micro-Si, on open ground,,,1569.55
"market for electricity, high voltage",SV,RCAM,570, open ground , multi-Si, on open ground,,,1569.55
"market for electricity, high voltage",SV,RCAM,570, open ground , single-Si, on open ground,,,1569.55
"market for electricity, high voltage",SV,RCAM,93, slanted-roof , multi-Si, laminated, integrated, on roof,1426.29
"market for electricity, high voltage",SV,RCAM,93, slanted-roof , multi-Si, panel, mounted, on roof,1426.29
"market for electricity, high voltage",SV,RCAM,93, slanted-roof , single-Si, laminated, integrated, on roof,1426.29
"market for electricity, high voltage",SV,RCAM,93, slanted-roof , single-Si, panel, mounted, on roof,1426.29
"market for electricity, high voltage",CA-MB,CAN,156, flat-roof , multi-Si, on roof,,,817.77
"market for electricity, high voltage",CA-MB,CAN,156, flat-roof , single-Si, on roof,,,817.77
"market for electricity, high voltage",CA-MB,CAN,570, open ground , CIS, on open ground,,,1112.28
"market for electricity, high voltage",CA-MB,CAN,570, open ground , CdTe, on open ground,,,1097.81
